Equipment Number,Original Description,Suggested Edit,Confidence,Reasoning,Object Type (Original),Object Type (Suggested),Functional System Category,Functional System
2000000262,Valve Equipment-jv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,AUXILIERY,HOUSE AIR
2000097094,"Gfci Pnl.recpt.  20a,110v","Gfci Pnl.recpt. 20a,110v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097096,"Gfci Pnl.recpt.  20a,110v","Gfci Pnl.recpt. 20a,110v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097098,"Gfci Pnl.recpt.  20a,110v","Gfci Pnl.recpt. 20a,110v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097231,33 Main Stop Valve Open Pump Osition Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097232,32 Main Stop Valve Open Pump Osition Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097235,31 Main Stop Valve Open Pump Osition Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097237,33 Main Stopvlv Disc Dposion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097238,32 Main Stopvlv Disc Dposion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097241,31 Main Stopvlv Disc Dposion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097243,33 Turbine Stop Valve Closed Pump Osition Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097244,32 Turbine Stop Valve Closed Pump Osition Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097247,31 Turbine Stop Valve Closed Pump Osition Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097248,32 Turbine Stop Valve No Load Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097250,34 Trb Control Valve Disc Dump Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097252,33 Trb Control Valve Disc Dump Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097255,31 Trb Control Valve Disc Dump Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097257,Main Trbine Control Valv 32 (ge4) Disc Dmp,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097259,34 Turbine Control Valve Open Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097261,33 Turbine Control Valve Open Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097263,31 Turbine Control Valve Open Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097265,32 Turbine Control Valve Open Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097266,34 Turbine Control Valve Close D Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097268,33 Turbine Control Valve Close D Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097270,31 Turbine Control Valve Close D Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097272,32 Turbine Control Valve Close D Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097274,34 Turbine Control Valve No Lo Ad Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097276,32 Trb Cntlvlv Comp Pri Ntout Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097278,32 Turbine Intercept Valve Ope North Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097280,31 Turbine Intercept Valve Ope North Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097282,32 Trb Interceptvlv Dis C Dump Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097284,31 Trb Interceptvlv Dis C Dump Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097286,32 Trb Reheat Stopvlv Open Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097288,31 Trb Reheat Stopvlv Open Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097290,32 Trb Rh Stopvlv Disc Dump Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097292,31 Trb Rh Stopvlv Disc Dump Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097294,32 Trb Interceptvlv Clo Sed Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097296,31 Trb Interceptvlv Clo Sed Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097298,32 Turbine Rh Stop Valve Close D Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097311,"Webb Whse.  60a,600v","Webb Whse. 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097315,"Zcp Dt 9009 Sta.1 Transformer.  30a,600v","Zcp Dt 9009 Sta.1 Transformer. 30a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097327,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097329,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097331,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097340,"Spare  30a,600v","Spare 30a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097350,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097352,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097354,"Feco Lube Oil Flush Pump  60a,600v 970 Ph","Feco Lube Oil Flush Pump 60a,600v 970 Ph",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097358,"31 Temperature Dc Wldng Grid 200a,600v,999/312k","31 Temperature DC Wldng Grid 200a,600v,999/312k",95,Forced acronym uppercase: DC,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097398,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097553,Outage Turnstile,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,#N/A
2000097600,31 Turbine Rh Stop Valve Close D Position Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097602,Equalizer Valve Closed Posi Tion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,HP/IP
2000097604,Ventilator Valve 100% Open Limit Switchitch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097606,Ventilator Valve Closed Limit Switchitch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000097608,Water Sprayvlv Open & Closed Posion Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,LOW PRESSURE
2000097610,Main Turbine Control Valve Ge Cv1 X Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097612,Main Turbine Control Valve Ge Cv1 Y Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097614,Main Turbine Control Valve Ge Cv2 X Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097616,Main Turbine Control Valve Ge Cv2 Y Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097618,Main Turbine Control Valve Ge Cv3 X Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097620,Main Turbine Control Valve Ge Cv3 Y Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097622,Main Turbine Control Valve Ge Cv4 X Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097624,Main Turbine Control Valve Ge Cv4 Y Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097625,Main Turbine Stop Valve Ge Sv1 X Closed Lim,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097627,Main Turbine Stop Valve Ge Sv1 Y Closed Lim,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097629,Main Turbine Stop Valve Ge Sv2 X Closed Lim,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097631,Main Turbine Stop Valve Ge Sv2 Y Closed Lim,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097633,Main Turbine Stop Valve Ge Sv3 X Closed Lim,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097635,Main Turbine Stop Valve Ge Sv3 Y Closed Lim,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097637,Main Turbine Intercept Valve Ge Iv1 X Close,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097639,Main Turbine Intercept Valve Ge Iv1 Y Close,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097641,Main Turbine Intercept Valve Ge Iv2 X Close,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097643,Main Turbine Intercept Valve Ge Iv2 Y Close,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097645,Main Turbine Reheat Stop Ge Rhsv1 X Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097647,Main Turbine Reheat Stop Ge Rhsv1 Y Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097649,Main Turbine Reheat Stop Ge Rhsv2 X Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097651,Main Turbine Reheat Stop Ge Rhsv2 Y Closed,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097653,Turbine Speed Left Low Limit Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,STANDARD
2000097655,Turbine Speed Right Low Limi T Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,STANDARD
2000097657,Turbine Turning Gear Engaged Limit Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,UNIT 3 TURNING GEAR
2000097685,Substation Turnstile,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,PLANT,#N/A
2000097702,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097704,"34 Temperature. Dc Wldng Grid 200a,600v,999-6/31","34 Temperature. DC Wldng Grid 200a,600v,999-6/31",95,Forced acronym uppercase: DC,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097706,"33 Temperature. Dc Wldng Grid 200a,600v,999-6/31","33 Temperature. DC Wldng Grid 200a,600v,999-6/31",95,Forced acronym uppercase: DC,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097708,"32 Temperature. Dc Wldng Grid 200a,600v,999-6/31","32 Temperature. DC Wldng Grid 200a,600v,999-6/31",95,Forced acronym uppercase: DC,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097712,"Spare  30a,600v,","Spare 30a,600v,",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097714,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097719,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097737,"Spare  30a,600v","Spare 30a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097765,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097767,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097769,"Hoffman Whse.  60a,600v","Hoffman Whse. 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097771,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097775,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097777,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097779,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097781,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097783,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097785,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097798,"Spare  60a,240v","Spare 60a,240v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000097908,3 Main Turbine Ip Differential Expansion A,3 Main Turbine IP Differential Expansion A,95,Forced acronym uppercase: IP,INSTM,,TURBINE,HP/IP
2000097910,3 Main Turbine Ip Differential Expansion B,3 Main Turbine IP Differential Expansion B,95,Forced acronym uppercase: IP,INSTM,,TURBINE,HP/IP
2000097918,3 Main Turbine Ip Case Expansion Left,3 Main Turbine IP Case Expansion Left,95,Forced acronym uppercase: IP,INSTM,,TURBINE,HP/IP
2000097920,3 Main Turbine Ip Case Expansion Right,3 Main Turbine IP Case Expansion Right,95,Forced acronym uppercase: IP,INSTM,,TURBINE,HP/IP
2000097991,31 Stopvlv After Seat Drain Valve Matrix L,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097993,32 Stopvlv After Seat Drain Valve Matrix L,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097995,33 Stopvlv After Seat Drain Valve Matrix L,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097997,Msv Before Seat Dr Close Permit Matrix L,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000097999,31 Stopvlv Before Seat D Rvlv Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098000,"Spare  60a,240v","Spare 60a,240v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000098002,"Spare  30a,600v","Spare 30a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000098012,"Spare  60a,600v","Spare 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000098020,"Construction Gaurd House  100a,600v","Construction Gaurd House 100a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000098026,"Security Lights  30a,600v","Security Lights 30a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000098028,"Concrete Test Building.  60a,600v","Concrete Test Building. 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000098042,"Water Wagon Hut Elec Heat  60a,600v","Water Wagon Hut Elec Heat 60a,600v",95,Normalized whitespace/title case,BRKR,,ELECTRICAL,LOW VOLTAGE
2000098069,Cs1 Stack Flow Cabinet Watlo Temp Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,EMISSIONS,MONITORING SYSTEMS
2000098071,Cs1 Stack Flow Temperature Sourc Altek Temperature,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098074,Cs1 Stck Flw Cabinet Heat A/south Strip Heater,,100,No change needed; Object Type mapped HEATR -> Heater,HEATR,Heater,EMISSIONS,MONITORING SYSTEMS
2000098082,Unit 1&2 Stack Flow #2 Po Wer Supply,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098084,Unit 1&2 Stack Flow #3 Po Wer Supply,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098086,Unit 1&2 Stack Flow DP T Rans. Current,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098088,Unit 1&2 Stack Flow Low Temperature Calibratio,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098090,Unit 1&2 Stack Flow Hi Temp Calibration,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098092,Unit 1&2 Stack Flow Blowb Ack Timer Rly,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098094,Unit 1&2 Stack Flow Blow Back Relay #2,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098096,Unit 1&2 Stack Flow Blow Back Relay #3,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098098,Unit 1&2 Stack Flow Blow Back Timer Rly,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098301,32 Stopvlv Before Seat D Rvlv Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098303,33 Stopvlv Before Seat D Rvlv Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098305,31 Reheatvlv After Sea T Dr Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098307,32 Reheatvlv After Sea T Dr Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098309,Msv After Seat Dr Close Pump Ermit Matrix L,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098311,Main Steam Lead Drain Val Ve Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098314,Rh After Seat Dr Close Pe Rmit Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098315,Main Steam Lead Dr Close Permit Matrix Light,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,INLET SECTION
2000098319,Stopvlvs After Seat Drai Nvlvs Toggle Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098321,Stopvlvs Before Seat Dra Invlvs Toggle South,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098323,Reheat Valves After Seat Dr Valves Toggle Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098325,Main Steam Lead Drain Valve Toggle Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098374,Steam Lead 3 Drain Valve Open Limit Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098376,Msv After Seat Drain Desup Spray Open Limit South,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098378,Msv After Seat Drain Desup Spray Closed Limit,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098380,Msv Before Seat Drain Desup Spray Open Limit,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098382,Msv Before Seat Drain Desup Spray Closed Limit,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,INLET SECTION
2000098388,Ehc Trip Filter 1 Inlet Valve Dfa-40 1 Isolation In,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,HYDRAULIC
2000098390,Ehc Trip Filter 2 Inlet Valve Dfa-40 2 Isolation In,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,HYDRAULIC
2000098392,Ehc Trip Filter 1 Outlet Valve Dfa-40 1 Isolation O,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,HYDRAULIC
2000098394,Ehc Trip Filter 2 Outlet Valve Dfa-40 2 Isolation O,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,HYDRAULIC
2000098400,Unit 1&2 Stack Flow 2ND South Tage Hi Blow B,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098402,Unit 1&2 Stack Flow Span Pressure Sv 0,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098404,Unit 1&2 Stack Flow 1ST South Tage Span Isolation,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098406,Unit 1&2 Stack Flow 2ND South Tage Span Isolation,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098408,Unit 1&2 Stack Flow Zero / Span Solnd Sv,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098410,Unit 1&2 Stack Flow Span Pressure Solnd Sv 1,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098413,Unit 1&2 Stack Flow Low Vent Ent Solnd Sv 1,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098415,Unit 1&2 Stack Flow Low 1 St Stage Isolation South,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098417,Unit 1&2 Stack Flow Low 2 Nd Stage Isolation South,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098419,Unit 1&2 Stack Flow 2ND South Tage Low Blow,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,EMISSIONS,MONITORING SYSTEMS
2000098420,3 Air Comp Lube Oil Level Lo (lli),,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,AUXILIERY,HOUSE AIR
2000098612,31 Ehc Fluid Pump Control Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,HYDRAULIC
2000098614,32 Ehc Fluid Pump Control Switch,,100,No change needed; Object Type mapped SWCH -> Switch,SWCH,Switch,TURBINE,HYDRAULIC
2000098631,Votage Monitor (vm1) For 24VDC Power Supply,Votage Monitor (vm1) For 24vdc Power Supply,95,Normalized whitespace/title case,INSTM,,CONTROLS,UNIT CONTROL
2000098633,Votage Monitor (vm2) For 24VDC Power Supply,Votage Monitor (vm2) For 24vdc Power Supply,95,Normalized whitespace/title case,INSTM,,CONTROLS,UNIT CONTROL
2000098658,Ehc 3 Micro Filter Trip Oil Filter,,100,No change needed; Object Type mapped MISC -> Miscellaneous Equipment,MISC,Miscellaneous Equipment,TURBINE,HYDRAULIC
